Lake,NH waterbody ID,Town,NLA ID,CHLORIDE,CHLOROPHYLL A,GRAN ACID NEUTRALIZING CAPACITY,"NITROGEN, KJELDAHL","NITROGEN, NITRATE (NO3) AS N","NITROGEN, NITRITE (NO2) + NITRATE (NO3) AS N","NITROGEN, NITRITE (NO2) AS N",PH,PHOSPHORUS ug/L,SECCHI DISK TRANSPARENCY,SPECIFIC CONDUCTANCE,EC1,EC2,EC3
"BAKER RIVER, SITE 6A",NHIMP700010303-03,Wentworth,NLA17_NH-10283,<3,3.65,8.4,0.31,<0.05,<0.05,<0.05,7,7.92,2.55,29.2,<10,<10,10
Bancroft Reservoir,NHIMP802020103-05,Rindge,NLA17_NH-10038,<3,3,2.3,0.64,<0.05,<0.05,<0.05,5.89,16.7,1.3,16.79,<10,20,<10
Bear Pond,NHLAK700020108-01,Center Harbor,NLA17_NH-10279,43.9,5.32,10.1,0.31,<0.05,<0.05,<0.05,6.71,9.17,4.4,180.5,20,20,<10
Beaver Lake,NHLAK700061203-02-01,Derry,NLA17_NH-10024,44,5.12,22,0.38,<0.05,<0.05,<0.05,7.54,19.5,3.7,238,3.1,220,60
Beaver Pond,NHLAK700030304-09,Sutton,NLA17_NH-10059,NA,7.33,3.3,0.4,<0.05,<0.05,<0.05,5.96,18,1.3,14.22,20,<10,<10
Boston Lot Lake,NHLAK801040402-01,Lebanon,NLA17_NH-10291,<3,17.88,10.7,0.33,<0.05,<0.05,<0.05,7.03,16.7,2.7,32.5,<10,10,10
Brindle Pond,NHLAK700060402-01,Barnstead,NLA17_NH-10052,18.1,18.38,7.6,0.39,<0.05,<0.05,<0.05,6.88,20.2,2.1,90.8,130,30,<10
Brownwell Rec Dam,NHIMP700010702-01,Danbury,NLA17_NH-10047,<3,5.6,2,0.63,<0.05,<0.05,<0.05,5.7,22,1,10.71,<10,1100,30
Calef Pond,NHLAK700060703-01,Auburn,NLA17_NH-10280,76.1,23.39,8.3,0.73,<0.05,<0.05,<0.05,6.73,24.9,2,306,60,20,30
Cold Spring Imp.,NHIMP700060503-10,Allenstown,NLA17_NH-10268,<3,5.63,2.4,0.56,<0.05,<0.05,<0.05,5.55,30.1,1.6,15.78,10,10,10
Crystal Lake,NHLAK600020304-02-01,Eaton,NLA17_NH-10045,8.14,0.96,6.1,<0.25,<0.05,<0.05,<0.05,7.23,7.69,6.2,51.4,10,10,10
"DANFORTH POND, UPPER",NHLAK600020803-03,FREEDOM,NLA17_NH-10001,10.7,8.54,10.7,0.28,<0.05,<0.05,<0.05,7.09,15.3,2.6,67.7,<10,<10,10
Dunklee Pond,NHLAK700061001-01,Hollis,NLA17_NH-10050,40.6,9.46,15.2,<0.25,<0.05,<0.05,<0.05,7,21.6,1.8,214,50.4,50,50
Echo Lake,NHLAK801030302-01-01,Franconia,NLA17_NH-10044,32.3,7.88,5.6,0.32,0.2,0.2,,6.82,9.71,3.4,149.3,40,63.1,20
ELLSWORTH POND,NHLAK700010206-01,ELLSWORTH,NLA17_NH-10063,<3,10.06,3.8,0.28,<0.05,<0.05,<0.05,6.75,19.5,1.15,16.44,<10,30,10
Forest Lake,NHLAK802010401-01-01,Winchester,NLA17_NH-10042,7.69,5.63,8.1,0.41,<0.05,<0.05,<0.05,6.89,13.9,3.5,50.4,60,330,30
Gilman Pond,NHLAK801060403-01,Unity,NLA17_NH-10285,6.76,0.76,8.9,,<0.05,<0.05,<0.05,7.6,10.3,9.3,49.6,40,<10,
"GREENOUGH POND, LITTLE",NHLAK400010502-04,WENTWORTHS LOCATION,NLA17_NH-10002,<3,4.74,5.1,0.33,<0.05,<0.05,<0.05,7.04,12.1,1.2,19.95,<10,<10,30
Head Pond,NHLAK801010703-02,Berlin,NLA17_NH-10292,6.26,5.55,7.3,0.53,<0.05,<0.05,<0.05,6.99,14.1,2.3,47.6,<10,10,150
