LOCATION	STATION	NAME	GNIS_NAME	coll_date	collect	DESCRIPT	Direct	LATITUDE	LONGITUDE	bap	wqa	MAX_ISD	P_Trophic	N_Trophic	Habitat Assessment	isd_impmax_val	isd_munimax_val	isd_natmax_val	isd_siltmax_val	isd_toxicmax_val	isd_nonpointmax_val	isd_sewagemax_val	spp	hbi	ept	pma	div	nco	top3	totind	chir	trich	ephem	plecop	coleop	oligo	moll	crus	inst	other	chir_tax	tric_tax	eph_tax	plec_tax	col_tax	olig_tax	moll_tax	crus_tax	oth_tax	inst_tax	domin1	domin2	domin3	domin4	domin5	contr1	contr2	contr3	contr4	contr5	NBI-P	NBI-N	HMA	siteID	xcoord	ycoord	mdcaty	wgt	stratum	panel	FCODE	SO	NAWQA	NACEC_ECO	ST	Frame_07	WSA_Eco9	StrahCat	INC_FW08	WSA_ID	Urban	Shape_Leng	NFWACat	Basin	Eval_Status	Eval_Reason
BOQT	4	Bouquet River	Boquet River	8/28/2008	1	150 m above Co Rt. 8A bridge	Elizabethtown	44.21778	-73.58556	8.7	non	natural	Oligotrophic	Oligotrophic	Natural	29	32	52	28	37	39	29	30	3.08	15	63	4.34	21	37	100	15	44	19	4	5	0	0	0	13	0	9	6	7	2	2	0	0	0	0	4	Brachycentrus appalachia	Hydropsyche bronta	Plauditus sp.	Ophiogomphus sp.	Dolophilodes sp.	22	9	6	6	4	4.238095238	4.488095238	80.11049724	NYR08719-0657	1769558.261	2569149.031	3rd	42.15125214	Lake Champlain_Include	Base	46006	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	3326.977122	NY_NAP_3rd_Include	Lake Champlain	Target_Sampled	"Ok, use BOQT-04"
BOQT	04A	Boquet River	Boquet River	7/24/2008	1	Lee bridge Rd	Westport	44.24826	-73.52014	3.75	mod	inconclusive	Oligotrophic	Oligotrophic	Natural	9	8	10	10	6	11	8	8	4.69	8	13	2.87	8	54	13	0	5	8	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	Stenonema terminatum	Baetis intercalaris	Tricorythodes sp.	Hydropsyche bronta	Isonychia bicolor	3	2	2	2	1	4.307692308	4.538461538	88.95027624	NYR08719-0641	1773756.468	2572655.416	3rd	42.15125214	Lake Champlain_Include	Base	46006	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	7296.367922	NY_NAP_3rd_Include	Lake Champlain	Target_Sampled	Ok short walk off Steele Woods Rd.
COLW	1	Cold Brook	Cold Brook	7/23/2008	6	off Reber Rd N	Willsboro	44.32675	-73.48008	3.417	mod	sewage	Eutrophic	Mesotrophic	low gradient	22	21	6	15	22	17	58	16	8.29	1	36	2.74	4	72	100	69	0	1	0	0	11	18	0	1	0	10	0	1	0	0	2	2	0	0	1	Chironomus sp.	Undetermined Viviparidae	Paratendipes albimanus	Limnodrilus hoffmeisteri	Cryptochironomus sp.	42	17	13	10	3	8.591836735	5.816326531	71.82320442	NYR08719-0673	1774341.59	2581967.115	2nd	76.94455667	Lake Champlain_Include	OverSamp	46006	2	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	2nd	0.000148541		NonUrban	7825.40995	NY_NAP_2nd_Include	Lake Champlain	Target_Sampled	"Ok short walk from main road in Reber, NY"
DLET	1	Deep Inlet Brook		7/22/2008	1	2.3 mile bushwack in from Chazy Rd	Lyon Mountain	44.72041	-73.86993	7.64	non	natural	Oligotrophic	Oligotrophic	Natural	33	12	48	32	7	10	28	23	2.53	11	59	3.43	14	63	100	32	12	20	32	0	0	0	0	4	0	9	6	1	4	0	0	0	0	0	3	Micropsectra sp.	Leuctra ferruginea	Epeorus sp.	Sweltsa sp.	Amphinemura sp.	22	21	20	5	5	3.382352941	2.235294118	99.44751381	NYR08719-0674	1734071.001	2617415.993	1st	190.7609504	Lake Champlain_Include	OverSamp	46006	1	GLMR	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	1st	8.72E-05		NonUrban	898.1433009	NY_NAP_1st_Include	Lake Champlain	Target_Sampled	Long hike up stream to site from Chazy Lake Rd. (Deep Inlet Brook)
ECLD	1	East Branch Cold Brook	East Branch Cold Brook	7/22/2008	1	".10 miles off Standish Rd, behind house-use mowed path."	High Bank	44.63298	-73.91544	8.17	non	inconclusive	Mesotrophic	Oligotrophic	Natural	34	25	38	26	23	29	25	31	3.32	13	56	4.36	24	37	100	10	34	6	5	10	6	6	0	23	0	5	8	3	2	4	2	2	0	0	5	Dolophilodes sp.	Undetermined Gomphidae	Hydropsyche sparna	Micropsectra dives gr.	Ectopria nervosa	17	14	6	6	5	5.256410256	4.807692308	97.79005525	NYR08719-0636	1732808.456	2607114.88	1st	190.7609504	Lake Champlain_Include	Base	46006	1	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	1st	8.72E-05		NonUrban	4400.016831	NY_NAP_1st_Include	Lake Champlain	Target_Sampled	Ok short walk off Standish Rd.
ESAB	04A	East Branch Ausable River	East Branch Ausable River	7/23/2008	1	Across from Marcy feild	Keene Valley	44.22129	-73.78608	7.48	slt	inconclusive	Oligotrophic	Oligotrophic	Altered	25	15	32	24	11	15	30	24	3.31	12	55	3.21	21	65	100	16	14	6	2	9	2	0	0	51	0	2	5	5	2	2	1	0	0	0	7	Ophiogomphus sp.	Tanytarsus sp.	Brachycentrus appalachia	Optioservus trivittatus	Hexatoma sp.	40	15	10	8	3	2.805194805	3.844155844	78.45303867	NYR08719-0632	1753489.037	2564619.502	3rd	42.15125214	Lake Champlain_Include	Base	46006	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	3582.996801	NY_NAP_3rd_Include	Lake Champlain	Target_Sampled	Ok just off Rte 73
ESAB	10	East Branch ausable River	East Branch Ausable River	7/23/2008	1	off rt 9	Ausable Forks	44.41817	-73.67925	7.08	slt	inconclusive	Oligotrophic	Oligotrophic	Altered	29	23	41	30	21	27	24	24	2.91	9	53	3.46	15	59	100	15	34	11	1	6	0	0	0	33	0	9	5	3	1	2	0	0	0	0	4	Ophiogomphus sp.	Brachycentrus appalachia	Tricorythodes sp.	Cheumatopsyche sp.	Stenelmis sp.	29	24	6	6	5	3.318681319	4.351648352	72.9281768	NYR08719-0645	1756590.014	2588153.417	3rd	42.15125214	Lake Champlain_Include	Base	55800	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	1830.788281	NY_NAP_3rd_Include	Lake Champlain	Target_Sampled	Ok short walk off Rte 9N
GILB	1	Gill Brook	Gill Brook	7/23/2008	1	Lake Rd	Keene Valley	44.13865	-73.79723	8.68	non	natural	Oligotrophic	Oligotrophic	Natural	24	24	39	39	21	26	31	27	1.8	19	61	3.86	23	51	91	2	25	35	13	0	12	0	0	4	0	2	7	7	5	0	2	0	0	0	4	Epeorus vitreus	Glossosoma sp.	Undetermined Lumbriculidae	Dolophilodes sp.	Stenacron interpunctatum	25	11	10	5	4	4.914893617	3.872340426	96.68508287	NYR08719-0644	1754742.729	2555801.05	1st	190.7609504	Lake Champlain_Include	Base	46006	1	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	1st	8.72E-05		NonUrban	2489.427494	NY_NAP_1st_Include	Lake Champlain	Target_Sampled	Ok access off Private Rd.
GRNS	1	Unnamed Trib Granville		7/1/2008	1	Rt 40	Granville	43.38204	-73.36775	8.3	non	inconclusive	Mesotrophic	Mesotrophic	Natural	48	39	47	27	30	43	27	29	2.42	12	60	4.19	20	39	100	21	37	6	9	18	1	0	0	8	0	8	6	2	4	4	1	0	0	0	4	Dolophilodes sp.	Hydropsyche sp.	Promoresia tardella	Micropsectra dives gr.	Potthastia gaedii gr.	19	13	7	6	6	5.378378378	5.513513514	96.68508287	NYR08719-0666	1807914.752	2481659.873	1st	190.7609504	Lake Champlain_Include	OverSamp	46006	1	NEMA	Eastern Great Lakes and Hudson Lowlands	NY	Include	NAP	1st	8.72E-05		NonUrban	7054.400083	NY_NAP_1st_Include	Lake Champlain	Target_Sampled	Ok short walk from road off Rte. 40
INBR	0	Indian Brook	Indian Brook	7/1/2008	1	20 m below private Indian Trail Rd	Bolton	43.60162	-73.65686	9.25	non	natural	Mesotrophic	Mesotrophic	Natural	28	19	57	32	23	36	37	42	3.46	20	74	4.86	29	28	100	31	12	23	7	3	3	0	0	21	0	12	9	6	5	2	1	0	0	0	7	Polypedilum aviceps	Baetis tricaudatus	Epeorus vitreus	Hexatoma sp.	Baetis flavistriga	12	8	8	8	4	5.14084507	5.591549296	96.13259669	NYR08719-0631	1779386.599	2500140.411	2nd	76.94455667	Lake Champlain_Include	Base	46006	2	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	2nd	0.000148541		NonUrban	4271.69577	NY_NAP_2nd_Include	Lake Champlain	Target_Sampled	Ok just off rd. off Padanarum Rd.
