"","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date","no_chemistry","why_no_chemistry","LAKE","purpose"
"1","2001cle0s51","ALKALINITY, TOTAL (AS CaCO3)","2020-09-29","ALK","T",86,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"2","2001cle0s51","Arsenic","2020-09-29","7440-38-2","T",1.4,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"3","2001cle0s51","Calcium","2020-09-29","7440-70-2","T",27200,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"4","2001cle0s51","Carbon, Dissolved Organic (DOC)","2020-09-29","DOC","D",7.7,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"5","2001cle0s51","CHLORIDE (AS CL)","2020-09-29","16887-00-6","T",32.4,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"6","2001cle0s51","Chlorophyll A","2020-09-29","479-61-8","T",8.29,"ug/l",NA,"ug/l",0.32,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"7","2001cle0s51","Color, True","2020-09-29","COLOR","T",34,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"8","2001cle0s51","HARDNESS (AS CACO3)","2020-09-29","HARD","T",91.1,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"9","2001cle0s51","Iron","2020-09-29","7439-89-6","T",269,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"10","2001cle0s51","Manganese","2020-09-29","7439-96-5","T",116,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"11","2001cle0s51","Nitrate+Nitrite as Nitrogen","2020-09-29","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"12","2001cle0s51","Nitrogen, ammonia (As N)","2020-09-29","7664-41-7","T",0.011,"mg/l",0.003,"mg/l",0.01,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0104CLE0100",NA
"13","2001cle0s51","NITROGEN, KJELDAHL, TOTAL","2020-09-29","KN","T",1.06,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"14","2001cle0s51","NITROGEN, NITRATE (AS N)","2020-09-29","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"15","2001cle0s51","NITROGEN, NITRITE","2020-09-29","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"16","2001cle0s51","pH of Color Analysis","2020-09-29","PHCOLOR","T",7.59,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"17","2001cle0s51","PHOSPHORUS, DISSOLVED (AS P)","2020-09-29","7723-14-0","D",0.0079,"mg/l",0.0036,"mg/l",0.005,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0104CLE0100",NA
"18","2001cle0s51","PHOSPHORUS, TOTAL (AS P)","2020-09-29","7723-14-0","T",0.043,"mg/l",0.0036,"mg/l",0.005,NA,"J","estimated value due to Equipment Blank error","2020-12-09",NA,NA,"0104CLE0100",NA
"19","2001cle0s51","SULFATE (AS SO4)","2020-09-29","14808-79-8","T",7,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"20","2001cle0s51","TOTAL ORGANIC CARBON","2020-09-29","TOC","T",8.2,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"21","2001cle0s52","ALKALINITY, TOTAL (AS CaCO3)","2020-09-29","ALK","T",82,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"22","2001cle0s52","Arsenic","2020-09-29","7440-38-2","T",1.6,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"23","2001cle0s52","Calcium","2020-09-29","7440-70-2","T",26900,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"24","2001cle0s52","Carbon, Dissolved Organic (DOC)","2020-09-29","DOC","D",7.8,"mg/l",0.5,"mg/l",1,NA,"R","Result should be less than the total","2020-12-09",NA,NA,"0104CLE0100",NA
"25","2001cle0s52","CHLORIDE (AS CL)","2020-09-29","16887-00-6","T",32.2,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
