WCFD_EVENT_LMAS_SAMPLE_DATE,WCFD_LOCATION_HISTORY_ID,WCFD_SAMPLE_NAME,WCFD_END_DEPTH,WCFD_GLOBAL_ID,WCFD_START_DEPTH,WCFD_EQUIPMENT_TYPE,WCFD_SAMPLE_TYPE,WCFD_EQUIPMENT_DESC,WCFD_INFORMATION_TYPE,WCFD_WCFD_DEPTH_UNIT,WCFD_EVENT_LMAS_DATA_PROVIDER,WCFD_SAMPLE_METHOD
5/13/2020,0402UWB5160_DH,2004UWB5S11,1,{00E13EF4-3205-4130-8E75-9CCA1E6B30C3},0,VAN DORN,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/13/2020,0402DEW5227_DH,2004DEW5S11,2,{2883BB33-190E-4822-B856-315C43CFEC73},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/19/2020,0903FOL0186_DH,2009FOL0S11,2,{5168E011-190D-4F5B-A249-B1A1A3C8D9CA},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/19/2020,0903LSI0182_DH,2009LSI0S11,2,{D410109B-6C00-4A3D-BC37-0579139C5742},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/19/2020,0903EAG0306_DH,2009EAG0S11,2,{8330043A-4E81-4207-9E1D-A68FD6A0EB7B},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/19/2020,0903BLA0029A_DH,2009BLA0S11,2,{4444CE9F-DA68-461A-9838-A48FDF31C4DF},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/19/2020,0903BLU0307_DH,2009BLU0S11,2,{9D19EBA9-97FB-4080-8F97-1383864E7F48},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0906MUD0003_DH,2009MUD05S11,2,{55541EEC-3A10-42E1-9FDA-C53B1AF9E626},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0905LOW0061_DH,2009LOW0S11,1,{E434CA68-8F6D-4EC5-A52D-2C27DCC053AB},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0906RED0010_DH,2009RED0S11,2,{A1F63360-D1D2-43B5-9FF0-C70F41BEA1AD},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0906MUD0003_DH,2009MUD03S11,2,{EDA05D20-B91C-4068-9895-CF89ADE53DE1},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0906MUS0008_DH,2009MUS0S11,2,{0B97FCC4-62E6-4719-B827-C10603756F0E},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/20/2020,0906HIC0004_DH,2009HIC0S11,2,{3C1C8CE2-0C53-4BE8-93B1-61707C5C7341},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/21/2020,0905ROC0231_DH,2009ROC0S11,2,{D3791DB2-D71F-4781-B163-D4019A63075A},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/21/2020,0905SYL0088_DH,2009SYL0S11,2,{97D4CC56-BA8E-4A78-8E60-31E74CEA3758},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/26/2020,1401CHE0106_DH,2014CHE0S11,2,{AFD0AEB5-9EDB-4393-949E-D3533A8B30DC},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/26/2020,1401MOU0114_DH,2014MOU0S11,2,{D41F56BA-0C0E-4E22-8804-DF3D854B72B9},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/26/2020,1402LOU0040_DH,2014LOU0S11,2,{55F06FC5-22DB-4226-B123-072AF2D7E802},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/27/2020,1402HAW0005A_DH,2014HAW0S11,1.5,{F82FDAB6-B4A4-4558-97A5-2A829B814786},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/27/2020,1402RE10003_DH,2014RE10S11,2,{AD6E8D0D-5A21-4096-82DC-A38D0D0A3200},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
5/27/2020,1402EAS0055_DH,2014EAS0S11,2,{D5213C1C-9569-4F01-867E-14D4599C63E5},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
6/3/2020,0402DEW5227_DH,2004DEW5S21,2,{F02290D2-6B51-40BD-ADBF-2B41CB0F8538},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
6/3/2020,0404NUN0084A_DH,2004NUN0S21,2,{220454E4-A9B5-462F-BA0A-C27AC3D29436},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
6/9/2020,1306STU0453A_DH,2013STU0S21,2,{E30B3793-AEF5-474D-9C3F-2AB53BF874F8},0,VINYL TUBE,WATER COLUMN,NA,OW,M,LCI,SOP 203
