LOCATION	STATION	NAME	GNIS_NAME	EPAID	DIRECT	LATITUDE	LONGITUDE	bap	wqa	MAX_ISD	P_Trophic	N_Trophic	HabitatAssessment	BASIN	Spp	HBI	EPT	PMA	top3	totind	chir	trich	ephem	plecop	coleop	oligo	moll	crus	inst	other	chir_tax	tric_tax	eph_tax	plec_tax	col_tax	olig_tax	moll_tax	oth_tax	inst_tax	domin1	domin2	domin3	domin4	domin5	contr1	contr2	contr3	contr4	contr5	bapdiv	pon	dom3	bapnco	isd_impmax_val	isd_munimax_val	isd_natmax_val	isd_nonpointmax_val	isd_sewagemax_val	isd_silt.max_val	isd_toxic.max_val	SiteType	NBI-P	NBI-N	siteID	xcoord	ycoord	mdcaty	wgt	stratum	panel	FCODE	SO	NAWQA	NACEC_ECO	ST	Frame_07	WSA_Eco9	StrahCat	INC_FW08	Urban	NFWACat	Basin	Eval_Status	Eval_Reason
				6240185																																																												NYR08719-0091	1834579.809	2223998.662	2nd	13.29649521	Atlantic Ocean/Long Island Sound_Include	Base	46006	2	NEMA	Northeastern Coastal Zone	NY	Include	NAP	2nd	0.000148541	Urban	NY_NAP_2nd_Include	Atlantic Ocean/Long Island Sound	NT_Wetland	"Remove from list, site is in a wetland"
			Byram River	7737521																																																												NYR08719-0092	1847127.238	2216766.235	4th+	0.54349457	Atlantic Ocean/Long Island Sound_Include	Base	55800	4	NEMA	Northeastern Coastal Zone	NY	Include	NAP	4th	0.000263588	Urban	NY_NAP_4th_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is not wadeable and is tidal"
SARL	1	Unnamed Stream in Sarles Corners		7732175	Sarles Corners	41.18875639	-73.57937589																																																						Random Probablisitc			NYR08719-0093	1848618.412	2239208.996	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	1	NEMA	Northeastern Coastal Zone	NY	Include	NAP	1st	8.72E-05	NonUrban	NY_NAP_1st_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	Ok short walk from South Bedford Road
SEAF	1	Unnamed Stream in Seaford		9498810	Seaford	40.65191932	-73.51129296																																																						Random Probablisitc			NYR08719-0094	1868220.274	2182095.368	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	1	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	1st	3.41E-05	Urban	NY_CPL_1st_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	"Ok, just inside Wantagh Park"
BLND	5	Blind Brook	Blind Brook	6241839	Milton	40.96091801	-73.68983924																																																						Random Probablisitc			NYR08719-0095	1845612.879	2212254.841	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Northeastern Coastal Zone	NY	Include	NAP	3rd	0.000161328	Urban	NY_NAP_3rd_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	"Ok, just downstream from Oakland Beach Ave."
BLND	03A	Blind Brook	Blind Brook	6240245	Port Chester	41.00356469	-73.68734673																																																						Random Probablisitc			NYR08719-0096	1844704.34	2216947.613	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Northeastern Coastal Zone	NY	Include	NAP	3rd	0.000161328	NonUrban	NY_NAP_3rd_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	"Ok, just off Bowman Ave."
			Peconic River	9496456																																																												NYR08719-0097	1918680.936	2220395.199	2nd	13.29649521	Atlantic Ocean/Long Island Sound_Include	Base	46006	2	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	2nd	5.81E-05	NonUrban	NY_CPL_2nd_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is in an estuary"
				9498408																																																												NYR08719-0098	1897603.542	2198139.593	2nd	13.29649521	Atlantic Ocean/Long Island Sound_Include	Base	46006	2	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	2nd	5.81E-05	Urban	NY_CPL_2nd_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is in an estuary"
			Byram River	7734337																																																												NYR08719-0099	1846993.59	2217227.906	4th+	0.54349457	Atlantic Ocean/Long Island Sound_Include	Base	55800	4	NEMA	Northeastern Coastal Zone	NY	Include	NAP	4th	0.000263588	Urban	NY_NAP_4th_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is not wadeable and is tidal"
MANH	1	Manhatten Brook		6240223	White Plains	41.04568863	-73.8031311	5.94	slt	municipal/impoundment	Eutrophic	Eutrophic	low gradient	17	18	6.08	3	43	75	100	33	54	2	0	1	4	1	0	2	2	8	2	1	0	1	1	1	0	2	Hydropsyche betteni	Cheumatopsyche sp.	Polypedilum flavum	Undetermined Lumbricina	Tanytarsus sp.	33	21	21	4	3				6.82	71	71	30	58	66	49	43	Random Probablisitc	7.402173913	7.565217391	NYR08719-0100	1834072.43	2219356.866	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	1	NEMA	Northeastern Coastal Zone	NY	Include	NAP	1st	8.72E-05	Urban	NY_NAP_1st_Include	Atlantic Ocean/Long Island Sound	Target_Sampled	"OK, Just off Tarrytown Whiteplains Rd."
