"parameter","fraction","units","seg_id","site_id","sample_id","replicate","date","info_type","result_type","data_provider","depth","sample_method","method_speciation","value","quantitation_limit","validator_qualifiers","interpreted_qualifiers"
"aluminum","dissolved","ug/l","0906-9999","0906CAR0050_DH","0906CAR0050_DH_20230711T112000","1",2023-07-11,"ow","lab","NYSDEC",NA,"grab","none",66,10,"A","Accepted"
"aluminum","dissolved","ug/l","1201-9999","1201DOL0709_DH","1201DOL0709_DH_20230712T093500","1",2023-07-12,"ow","lab","NYSDEC",NA,"grab","none",47,10,"A","Accepted"
"aluminum","dissolved","ug/l","1302-9999","1302UWB0044F_DH","1302UWB0044F_DH_20220912T110000","1",2022-09-12,"ow","lab","NYSDEC",NA,"van_dorn","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0601-9999","0601UWBXX1_DH","0601UWBXX1_DH_20230829T120500","1",2023-08-29,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0402-9999","0402UWB0030_DH","0402UWB0030_DH_20230816T110500","1",2023-08-16,"ow","lab","NYSDEC",NA,"van_dorn","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0603-9999","0603UWBSR5039_DH","0603UWBSR5039_DH_20230830T112000","1",2023-08-30,"ow","lab","NYSDEC",NA,"grab","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0601-9999","0601MIL5877_DH","0601MIL5877_DH_20230831T113000","1",2023-08-31,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1301-9999","1301TIV0309_DH","1301TIV0309_DH_20230802T145500","1",2023-08-02,"ow","lab","NYSDEC",NA,"grab","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0602-9999","0602COO5406_DH","0602COO5406_DH_20230816T082000","1",2023-08-16,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1003-9999","1003SUN0188_DH","1003SUN0188_DH_20230628T100100","1",2023-06-28,"ow","lab","NYSDEC",NA,"vinyl_tube","none",9,10,"J","Estimated concentration - still suitable for most data uses"
"aluminum","dissolved","ug/l","1201-9999","1201COL0670_DH","1201COL0670_DH_20230712T122000","1",2023-07-12,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1301-9999","1301TIV0309_DH","1301TIV0309_DH_20230823T135500","1",2023-08-23,"ow","lab","NYSDEC",NA,"grab","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1003-9999","1003CHU0056_DH","1003CHU0056_DH_20230809T131900","1",2023-08-09,"ow","lab","NYSDEC",NA,"vinyl_tube","none",18,10,"A","Accepted"
"aluminum","dissolved","ug/l","0602-9999","0602MAS5678_DH","0602MAS5678_DH_20230831T112500","1",2023-08-31,"ow","lab","NYSDEC",NA,"van_dorn","none",20,10,"A","Accepted"
"aluminum","dissolved","ug/l","1501-9999","1501UWB1007A_DH","1501UWB1007A_DH_20220914T101500","1",2022-09-14,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0601-9999","0601UWB5808_DH","0601UWB5808_DH_20230720T143300","1",2023-07-20,"ow","lab","NYSDEC",NA,"grab","none",18,10,"A","Accepted"
"aluminum","dissolved","ug/l","1601-9999","1601UWB6647_DH","1601UWB6647_DH_20220829T131700","1",2022-08-29,"ow","lab","NYSDEC",NA,"grab","none",10,10,"A","Accepted"
"aluminum","dissolved","ug/l","1306-9999","1306UWB5602_DH","1306UWB5602_DH_20220912T140000","1",2022-09-12,"ow","lab","NYSDEC",NA,"grab","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","0801-9999","0801LOW0594_DH","0801LOW0594_DH_20230711T132500","1",2023-07-11,"ow","lab","NYSDEC",NA,"grab","none",169,10,"A","Accepted"
"aluminum","dissolved","ug/l","1307-9999","1307SAU0834_DH","1307SAU0834_DH_20230620T095000","1",2023-06-20,"ow","lab","NYSDEC",NA,"vinyl_tube","none",10,10,"J","Estimated concentration - still suitable for most data uses"
"aluminum","dissolved","ug/l","1301-9999","1301UWB0391B_DH","1301UWB0391B_DH_20220829T084900","1",2022-08-29,"ow","lab","NYSDEC",NA,"van_dorn","none",16,10,"A","Accepted"
"aluminum","dissolved","ug/l","1201-9999","1201FOR0681_DH","1201FOR0681_DH_20230621T122600","1",2023-06-21,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1002-9999","1002UWB5009_DH","1002UWB5009_DH_20230627T112500","1",2023-06-27,"ow","lab","NYSDEC",NA,"vinyl_tube","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1702-9999","1702HIG1106K_DH","1702HIG1106K_DH_20230906T115200","1",2023-09-06,"ow","lab","NYSDEC",NA,"van_dorn","none",0,10,"U","Non-detect"
"aluminum","dissolved","ug/l","1004-9999","1004UWB0212_DH","1004UWB0212_DH_20230628T135200","1",2023-06-28,"ow","lab","NYSDEC",NA,"vinyl_tube","none",30,10,"A","Accepted"
