"within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","LAKE_ID"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0104gre5309"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0104gre5309"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","0104gre5309"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","0104gre5309"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0104gre5309"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0104gre5309"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0301canxxx1"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0301canxxx1"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","0502milxxx1"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","0502milxxx1"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","0502milxxx1"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0502milxxx1"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0502milxxx1"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","0703uwbxxx1"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0703uwbxxx1"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0703uwbxxx1"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1006uwbxxx1"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1006uwbxxx1"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","1006uwbxxx1"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1006uwbxxx1"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1006uwbxxx1"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1006uwbxxx1"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1203uwb0798e"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1203uwb0798e"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1203uwb0798e"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1203uwb0798e"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1203uwb0798e"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1702uwb0159"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1702uwb0159"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1702uwb0159"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1702uwb0159"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1702uwb0159"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1601uwbxxx1"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1601uwbxxx1"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1601uwbxxx1"
