"SITE_CODE","EVENT_DATETIME","alkalinity(total)","arsenic(total)","calcium(total)","chloride(total)","chlorophyll-a-concentration_chlorophyte_green-algae","chlorophyll-a-concentration_cryptophyta_cryptophytes","chlorophyll-a-concentration_cyanobacteria_bluegreen","chlorophyll-a-concentration_dinophyta_diatoms","chlorophyll-a(total)","dissolved_organic_carbon","dissolved_oxygen","hardness(total)","iron(total)","kjeldahl_nitrogen(total)","manganese(total)","microcystin","nitrate-nitrite(total)","ph","ph_for_color_analysis","phosphorus(dissolved)","phosphorus(total)","secchi_disk_depth","specific_conductance","sulfate(total)","temperature","total_organic_carbon","true_color(total)","dissolved_oxygen_wqs","ph_high_wqs","ph_low_wqs","siteID","xcoord","ycoord","Eval_Status","PROB_CAT","nitrogen(total)","phos_trophic","chla_trophic","phosphorus(total)_nla","nitrogen(total)_nla","chlorophyll-a(total)_nla","dissolved_oxygen_nla","nutrient_limitation","secchi_trophic","zebra","conductance","color","ph_cat","leech","chloride","alkalinity","statusTNT","WgtAdj"
"0102DAR5129_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10082",-78.3871,42.931948,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"0104GRE5309_DH",2020-09-30,117,1.7,45.1,81.1,2,0,16,1,4.96,5.8,5.8,138,577,0.99,81,"Non-detect",0.0849,7.3,7.71,NA,NA,0.44,539,21.4,18.7777777777778,6,31,"yes","yes","yes","LAK20_NY-10018",-78.751852,42.757271,"Target_Sampled","(4,10]",1.0749,NA,"Mesotrophic",NA,"Poor","Fair","Good",NA,"Eutrophic","Highly susceptible","Hard","High","~Neutral",NA,"Medium","Moderately hard","Target",166
"0301CANXXX1_DH",2021-09-27,128,0.59,54.7,378,1.9,1,0,1.7,3.38,5.4,NA,221,209,0.37,21,"Non-detect",0.0028,NA,8.01,0.0064,0.0175,1,1520.5,32.3,18.27778,NA,17,NA,NA,NA,"LAK20_NY-10091",-77.695874,43.184517,"Target_Sampled","(4,10]",0.3728,"Mesotrophic","Mesotrophic","Fair","Good","Good",NA,"P-limited","Eutrophic","Highly susceptible","Hard","Weak",NA,"Blue","High","Hard","Target",166
"0302UWB0087_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10055",-76.704007,43.210331,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"0403RUS0146_DH",2021-09-28,73.8,1.3,25.1,11.7,0,3.5,0.4,2.9,6.92,3.8,4.8,80.4,53.8,0.32,6.1,"Non-detect",0.266,7.6,8.03,0,0.0104,2.55,199.6,8.3,20.05556,NA,17,"no","yes","yes","LAK20_NY-10081",-78.198442,42.379787,"Target_Sampled",">50",0.586,"Mesotrophic","Mesotrophic","Good","Fair","Fair","Fair","P-limited","Mesotrophic","Highly susceptible","Average","Weak","Slightly alk","Blue","Low","Moderately hard","Target",15.1515151515152
"0404UWB5318_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10033",-77.630935,42.45316,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"0502MILXXX1_DH",2020-07-22,103,1.1,29.5,31.2,3,19,2,5,35.5,8.1,NA,110,834,1.43,735,"Non-detect",0.0102,NA,7.5,0.0353,0.147,1.2,488,2.2,21.527,8.7,40,NA,NA,NA,"LAK20_NY-10017",-77.097083,42.375685,"Target_Sampled",">50",1.4402,"Eutrophic","Eutrophic","Poor","Poor","Poor",NA,"N-limited","Eutrophic","Highly susceptible","Hard","High",NA,"Murky","Low","Moderately hard","Target",15.1515151515152
"0601ARN0362_DH",2021-09-27,21.2,0.4,7.68,4,0.5,0.1,0.3,0.8,1.57,2,6.2,22.8,36.8,0.2,9.2,"Non-detect",0,7.3,7.96,0,0,6.5,62.6,3.4,19.11111,NA,NA,"yes","yes","yes","LAK20_NY-10116",-75.004596,42.61142,"Target_Sampled","(20,50]",0.2,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Oligotrophic","Not susceptible","Soft",NA,"~Neutral",NA,"Low","Soft","Target",30.8
"0601UWB5514_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10015",-75.15594,42.49979,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0602LUD0099_DH",2020-07-21,12,0.51,5.4,7.2,8,0,1,1,NA,4.9,2.5,17.2,295,NA,26.9,"Non-detect",0.0033,6.4,7.38,0.0065,0.0093,2.3,60.6,2.3,25.814,4.9,30,"no","yes","no","LAK20_NY-10031",-75.70882,42.465573,"Target_Sampled","(20,50]",NA,"Oligotrophic",NA,"Good",NA,NA,"Poor",NA,"Mesotrophic","Not susceptible","Soft","Weak","Acidic","Brown","Low","Soft","Target",30.8
