"siteID","LAKE_ID","Eval_Status"
"LAK20_NY-10001","0603SPE0013","Target_Sampled"
"LAK20_NY-10007","0903BRI0178","Target_Sampled"
"LAK20_NY-10011","0703UWBXXX1","Target_Sampled"
"LAK20_NY-10012","1104ALG0276A","Target_Sampled"
"LAK20_NY-10013","1601UWBXXX1","Target_Sampled"
"LAK20_NY-10014","1104DUR0641A","Target_Sampled"
"LAK20_NY-10016","1005SUN0440","Target_Sampled"
"LAK20_NY-10017","0502MILXXX1","Target_Sampled"
"LAK20_NY-10018","0104GRE5309","Target_Sampled"
"LAK20_NY-10020","0801KAY0984A","Target_Sampled"
"LAK20_NY-10021","1401SWA0211","Target_Sampled"
"LAK20_NY-10024","1203MET0821","Target_Sampled"
"LAK20_NY-10025","1301CRO1033","Target_Sampled"
"LAK20_NY-10027","0704CAN0286","Target_Sampled"
"LAK20_NY-10029","1302HEM0103H","Target_Sampled"
"LAK20_NY-10031","0602LUD0099","Target_Sampled"
"LAK20_NY-10032","1310BLA0N80B","Target_Sampled"
"LAK20_NY-10034","0905CRY0289","Target_Sampled"
"LAK20_NY-10035","0903UPR0239","Target_Sampled"
"LAK20_NY-10040","1201SPE0760","Target_Sampled"
"LAK20_NY-10042","1004FER0222","Target_Sampled"
"LAK20_NY-10044","1104GRE0127","Target_Sampled"
"LAK20_NY-10045","1301WIC0183A","Target_Sampled"
"LAK20_NY-10046","1104HAR0680","Target_Sampled"
"LAK20_NY-10052","1202ENG0589","Target_Sampled"
"LAK20_NY-10054","0903SOU0017A","Target_Sampled"
"LAK20_NY-10056","1104FOU0325","Target_Sampled"
"LAK20_NY-10057","1305SIL0378","Target_Sampled"
"LAK20_NY-10060","1006UWBXXX1","Target_Sampled"
"LAK20_NY-10061","1303ORA0239D","Target_Sampled"
"LAK20_NY-10062","1104BRA0347","Target_Sampled"
"LAK20_NY-10063","0801GUL0969","Target_Sampled"
"LAK20_NY-10065","0603CAY0008","Target_Sampled"
"LAK20_NY-10067","1104PAR0432","Target_Sampled"
"LAK20_NY-10068","0801OTT0926","Target_Sampled"
"LAK20_NY-10073","1501GRE1026","Target_Sampled"
"LAK20_NY-10074","0903BLA0029A","Target_Sampled"
"LAK20_NY-10076","1203DEE0911","Target_Sampled"
"LAK20_NY-10079","0602STE0101","Target_Sampled"
"LAK20_NY-10081","0403RUS0146","Target_Sampled"
"LAK20_NY-10083","1004NIC0314","Target_Sampled"
"LAK20_NY-10084","1203UWB0798E","Target_Sampled"
"LAK20_NY-10086","0801SAN0436","Target_Sampled"
"LAK20_NY-10087","0701CRO0185","Target_Sampled"
"LAK20_NY-10088","1201KLO0708","Target_Sampled"
"LAK20_NY-10089","1702UWB0159","Target_Sampled"
"LAK20_NY-10091","0301CANXXX1","Target_Sampled"
"LAK20_NY-10092","1203GLA0859","Target_Sampled"
"LAK20_NY-10093","1302CAR0062A","Target_Sampled"
"LAK20_NY-10095","0602WHI5358","Target_Sampled"
"LAK20_NY-10097","1401RIO0079A","Target_Sampled"
"LAK20_NY-10098","0801DAR0750","Target_Sampled"
"LAK20_NY-10099","0902WHI0158","Target_Sampled"
"LAK20_NY-10101","1404RUS0410","Target_Sampled"
"LAK20_NY-10102","0801MEI0420","Target_Sampled"
"LAK20_NY-10104","1201ECA0703A","Target_Sampled"
"LAK20_NY-10105","1702NEW0292","Target_Sampled"
"LAK20_NY-10106","0902DEE0073","Target_Sampled"
"LAK20_NY-10109","1301CAN0168A","Target_Sampled"
"LAK20_NY-10114","0903SHA0324","Target_Sampled"
"LAK20_NY-10115","0902SPI0264","Target_Sampled"
"LAK20_NY-10116","0601ARN0362","Target_Sampled"
