"WATERBODY_CODE","WATERBODY_NAME","WATERBODY_CLASS","PUBLIC_WATER_SUPPLY","LATITUDE","LONGITUDE"
"0901ISLXXX1","Lake Of The Isles","unknown","FALSE",44.329743,-75.986252
"1301UWB5186","Sugar Pond","unknown","FALSE",40.997501,-73.869301
"1301BUC0303","Buckingham Lake","unknown","FALSE",42.663502,-73.807098
"1403UWB0294B","Timber Lake","unknown","FALSE",41.960098,-74.8461
"1401WHI0117","White Lake","unknown","FALSE",41.676998,-74.837898
"1302UWB0044H","Timber Lake","unknown","FALSE",41.2939,-73.663101
"1302UWB0089F","Gossamans Pond","unknown","FALSE",41.5238,-73.644897
"1306UWB0464B","Unnamed Wallkill Pond","unknown","FALSE",41.650299,-74.220398
"1302UWB5115","Plum Brook Lake","unknown","FALSE",41.311798,-73.704102
"1302BLU0122A","Blue Heron Lake","unknown","FALSE",41.191601,-73.592201
"1302KEN5213","Kentwood Lake","unknown","FALSE",41.483799,-73.696602
"0906GRA0051","Grass Lake","unknown","FALSE",44.34,-75.715202
"0303LOR0009","Lorton Lake","unknown","FALSE",43.503741,-75.89079
"0302JUN0068","Juniper Pond","unknown","FALSE",43.363602,-76.670402
"0402UWB5160","Avon Marsh Dam Pond","unknown","FALSE",42.9011,-77.668602
"0403UWB0124A","Trout Pond","unknown","FALSE",42.591801,-78.040703
"0403UWB5243","Unnamed Water","unknown","FALSE",42.6045,-77.982597
"0403UWB5279","Unnamed Water","unknown","FALSE",42.5951,-78.047996
"0403GLEXXX1","Glen Iris Pond","unknown","FALSE",42.58473,-78.04247
"0503TANXXX1","Tanglewood Lake","unknown","FALSE",42.193635,-77.251116
"0503ERW0023B","Erwin Pond","unknown","FALSE",42.1577,-77.171204
"0503PRIXXX1","Unnamed Pond Cameron Mills","unknown","FALSE",42.19094,-77.358066
"1702CRA6892","Cranberry Lake","unknown","FALSE",41.072201,-73.757698
"0102UWB5214","Unnamed Water","unknown","FALSE",43.027,-78.415199
"1501UWB1006","Little We Wah Lake","unknown","FALSE",41.210602,-74.2005
"1701BLA0788","Black Pond","unknown","FALSE",40.951302,-72.296303
"1701LIL0779","Lily Pond","unknown","FALSE",40.938301,-72.212898
"1104EAS0536","Eastman Pond","unknown","FALSE",43.791698,-74.011597
"1202MAL0615A","Mallet Pond","unknown","FALSE",42.586899,-74.520599
"1202LOO5452","Looking Glass Pond","unknown","FALSE",42.549999,-74.492996
"1202UWB0589A","Lower Engleville Pond","unknown","TRUE",42.760101,-74.647797
"1301MIT0162A","Lake Mitchell","unknown","FALSE",41.281399,-73.917999
"1301MORXXX1","Morningside Pond","unknown","FALSE",40.803761,-73.958943
"1301OLA0963","Olana Pond","unknown","FALSE",42.2118,-73.831398
"1301OLAXXX1","Olana Route 9 Pond 1","unknown","FALSE",42.208111,-73.83625
"1301OLAXXX2","Olana Route 9 Pond 2","unknown","FALSE",42.20749,-73.836824
"1301OLAXXX3","Olana Route 9 Pond 3","unknown","FALSE",42.206539,-73.837017
"1301FER0028C","Fergusons Lake","unknown","TRUE",41.0993,-73.826401
"1301CONXXX1","Conservatory Water","unknown","FALSE",40.774249,-73.967063
"1301WAS0302","Washington Park Pond","unknown","FALSE",42.657101,-73.7733
"1302JOHXXX1","John Jay Homestead Historic Site Pond","unknown","FALSE",41.251382,-73.656598
"1301UWB0155D","Lake Woodrock","unknown","FALSE",41.239799,-73.892502
"1301UWB0159B","Unnamed Pond At Stony Point Battlefield","unknown","FALSE",41.240501,-73.981499
"1301UWB1031","Turtle Pond","unknown","FALSE",40.779301,-73.9674
"1301UWB0168F","Unnamed Water","unknown","FALSE",41.430599,-73.859497
"1301UWB0168G","Unnamed Water","unknown","FALSE",41.4403,-73.850304
"1301UWB0391B","Marcy Street Pond","unknown","FALSE",42.6338,-73.560204
"1301SWA0030A","Swan Lake","unknown","FALSE",41.1096,-73.833702
"1301THE1034","The Pool","unknown","FALSE",40.794701,-73.961197
"1301THE1027","The Pond In Central Park","unknown","FALSE",40.765999,-73.974098
"1701UWB0789A","Sagg Pond","unknown","FALSE",40.910599,-72.284302
"1702STRXXX1","Strack Pond","unknown","FALSE",40.6994,-73.8554
"1201STEXXX2","Steinmetz Lake","unknown","FALSE",42.829,-73.9149
"1702UWB0239","Willow Pond","unknown","FALSE",40.903099,-73.415901
"1701GEO0780","Georgica Pond","unknown","FALSE",40.939098,-72.229103
"1201UWB0524","Unnamed Water","unknown","FALSE",42.797001,-73.911697
"0602CAS5626","Casterline Pond","unknown","FALSE",42.650799,-76.173798
"1701MAR0396","Marion Lake","unknown","FALSE",41.1255,-72.333397
"1702UWB0340A","Setauket Mill Pond","unknown","FALSE",40.946201,-73.1157
"1702UWB0013","Prospect Park Lake Upper Pool","unknown","FALSE",40.662701,-73.971397
"0703UWB0037A","Unnamed Water","unknown","FALSE",43.3293,-76.054199
"1701MEC0790","Mecox Bay","unknown","FALSE",40.901298,-72.333397
"1702UWB1067A","La Tourette Park Golf Course Pond","unknown","FALSE",40.5774,-74.151398
"1702IND5821","Indian Pond","unknown","FALSE",40.838299,-73.894096
"1701LIL0701","Lily Pond","unknown","FALSE",40.980099,-72.300102
"1701BEA0837","Beaverdam Pond","unknown","FALSE",40.8241,-72.661003
"1701UWB0837A","Unnamed Water","unknown","FALSE",40.8195,-72.691002
"1701UWB0839","Unnamed Water","unknown","FALSE",40.825001,-72.714699
"1701UWB5204","Unnamed Water","unknown","FALSE",40.8251,-72.727798
"1702STOXXX1","Stony Brook Harbor","unknown","FALSE",40.897878,-73.172909
"1702ROTXXXX","Roth Pond","unknown","FALSE",40.911804,-73.123789
"0302UWB0108D","Casey Park Pond","unknown","FALSE",43.235298,-77.297401
"1701SWE5044","Sweezy Pond","unknown","FALSE",40.905701,-72.671997
"1701UWB0530","Unnamed Water","unknown","FALSE",40.910198,-72.664703
"1701UWB0533","Unnamed Water","unknown","FALSE",40.906502,-72.657303
"1701UWB0087","Goose Pond","unknown","FALSE",40.711899,-73.798698
"1701UWB5328","Town Of Babylon Pond","unknown","FALSE",40.705601,-73.373802
"1702TWI0258","Twin Pond","unknown","FALSE",40.8839,-73.361198
"1701FRE0749","Fresh Pond Amagansett","unknown","FALSE",40.995998,-72.116402
"1701UWB5096","Unnamed Water","unknown","FALSE",40.9408,-72.618896
"1701UWBXXX3","Unnamed Waterbody (Southampton)","unknown","FALSE",40.90682,-72.66038
"1702CLO1074","Clove Lake","unknown","FALSE",40.616798,-74.107597
"0403WOOXXX1","Woodstream Campsite Pond","unknown","FALSE",42.62648,-78.12109
"1701UWB0761A","Unnamed Water","unknown","FALSE",41.0495,-71.924599
"0603BRIXXX1","Brixius Creek Pond","unknown","FALSE",42.122236,-76.038893
"1701ICE0835A","Ice Pond","unknown","FALSE",40.834999,-72.616997
