"LAKE_ID","probability","SITE_ID","seg_id","site_id","sample_id","info_type","depth","date","fraction","parameter","method_speciation","value","units","quantitation_limit","validator_qualifiers","interpreted_qualifiers","result_type","data_provider","replicate"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",-0.028,2020-09-30,NA,"specific conductance","none",527.8,"us/cm",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",5.884,2020-09-30,NA,"dissolved oxygen saturation","none",10.9,"percent",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_ow_2020-09-30","ow",NA,2020-09-30,NA,"chlorophyll a (probe) concentration, total","none",20,"ug/l",NA,NA,NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",-0.027,2020-09-30,NA,"phycocyanin (probe)","none",1.51,"ug/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",4.886,2020-09-30,"dissolved","dissolved_oxygen","none",4.39,"mg/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",0.168,2020-09-30,NA,"phycocyanin (probe)","none",1.42,"ug/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_bs_2020-09-30","bs",NA,2020-09-30,"total","alkalinity, total (as caco3)","none",118,"mg/l",2,"a",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_ow_2020-09-30","ow",NA,2020-09-30,"total","phosphorus","none",35,"ug/l",0.005,"t",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",0.895,2020-09-30,NA,"phycocyanin (probe)","none",1.41,"ug/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_bs_2020-09-30","bs",NA,2020-09-30,"total","ammonia","as N",303,"ug/l",0.01,"a",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",3.907,2020-09-30,"dissolved","dissolved_oxygen","none",6.75,"mg/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_bs_2020-09-30","bs",NA,2020-09-30,"total","phosphorus","none",28.4,"ug/l",0.005,"a",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",4.887,2020-09-30,"dissolved","dissolved_oxygen","none",4.18,"mg/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",0.895,2020-09-30,"dissolved","dissolved_oxygen","none",6.89,"mg/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",-0.027,2020-09-30,NA,"specific conductance","none",536,"us/cm",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_ow_2020-09-30","ow",NA,2020-09-30,"total","alkalinity, total (as caco3)","none",117,"mg/l",2,"a",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_sd_2020-09-30","sd",NA,2020-09-30,NA,"depth, secchi disk depth","none",0.44,"m",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_ow_2020-09-30","ow",NA,2020-09-30,NA,"ph for color analysis","none",7.71,"ph_units",NA,"a",NA,"lab","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",0.805,2020-09-30,NA,"phycocyanin (probe)","none",1.32,"ug/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",1.935,2020-09-30,"dissolved","dissolved_oxygen","none",6.84,"mg/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",5.884,2020-09-30,NA,"phycocyanin (probe)","none",0.44,"ug/l",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",-0.027,2020-09-30,"none","temperature","none",18.7777777777778,"deg_c",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",1.935,2020-09-30,NA,"chlorophyll a (probe)","none",0.64,"rfu",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",0.895,2020-09-30,"none","temperature","none",18.7777777777778,"deg_c",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",-0.027,2020-09-30,NA,"chlorophyll a (probe)","none",0.66,"rfu",NA,NA,NA,"in-situ","lci","1"
"0104gre5309","yes","LAK20_NY-10018","0101-0038","0104gre5309_dh","0104gre5309_dh_dp_2020-09-30","dp",5.87,2020-09-30,"dissolved","dissolved_oxygen","none",1.56,"mg/l",NA,NA,NA,"in-situ","lci","1"
